scrape_id,label
3,healthy
4,healthy
5,healthy
6,healthy
7,healthy
8,healthy
9,healthy
10,healthy
11,healthy
12,healthy
13,healthy
14,healthy
15,healthy
16,healthy
17,healthy
18,healthy
19,healthy
20,healthy
21,healthy
22,healthy
23,healthy
24,healthy
25,healthy
26,healthy
27,healthy
28,healthy
29,healthy
30,healthy
31,healthy
32,healthy
33,healthy
34,healthy
35,healthy
36,healthy
37,healthy
38,healthy
39,healthy
40,healthy
41,healthy
42,healthy
43,healthy
44,healthy
45,healthy
46,healthy
47,healthy
48,healthy
49,healthy
50,healthy
51,healthy
52,healthy
53,healthy
54,healthy
55,healthy
56,healthy
57,healthy
58,healthy
59,healthy
60,healthy
61,healthy
62,partition_skew
63,partition_skew
64,partition_skew
65,partition_skew
66,partition_skew
67,partition_skew
68,partition_skew
69,partition_skew
70,partition_skew
71,partition_skew
72,partition_skew
73,partition_skew
74,partition_skew
75,partition_skew
76,partition_skew
77,partition_skew
78,partition_skew
79,partition_skew
80,partition_skew
81,partition_skew
82,partition_skew
83,partition_skew
84,partition_skew
85,partition_skew
86,partition_skew
87,partition_skew
88,partition_skew
89,partition_skew
90,partition_skew
91,partition_skew
92,partition_skew
93,partition_skew
94,partition_skew
95,partition_skew
96,partition_skew
97,partition_skew
98,partition_skew
99,partition_skew
100,partition_skew
101,partition_skew
102,partition_skew
103,partition_skew
104,partition_skew
105,partition_skew
106,partition_skew
107,partition_skew
108,partition_skew
109,partition_skew
110,partition_skew
111,partition_skew
112,partition_skew
113,partition_skew
114,partition_skew
115,partition_skew
116,partition_skew
117,partition_skew
118,partition_skew
119,partition_skew
