scrape_id,label
3,healthy
4,healthy
5,healthy
6,healthy
7,healthy
8,healthy
9,healthy
10,healthy
11,healthy
12,healthy
13,healthy
14,healthy
15,healthy
16,healthy
17,healthy
18,healthy
19,healthy
20,healthy
21,healthy
22,healthy
23,healthy
24,healthy
25,healthy
26,healthy
27,healthy
28,healthy
29,healthy
30,healthy
31,healthy
32,healthy
33,healthy
34,healthy
35,healthy
36,healthy
37,healthy
38,healthy
39,healthy
40,healthy
41,healthy
42,healthy
43,healthy
44,healthy
45,healthy
46,healthy
47,healthy
48,healthy
49,healthy
50,healthy
51,healthy
52,healthy
53,healthy
54,healthy
55,healthy
56,healthy
57,healthy
58,slow_consumer
59,slow_consumer
60,slow_consumer
61,slow_consumer
62,slow_consumer
63,slow_consumer
64,slow_consumer
65,slow_consumer
66,slow_consumer
67,slow_consumer
68,slow_consumer
69,slow_consumer
70,slow_consumer
71,slow_consumer
72,slow_consumer
73,slow_consumer
74,slow_consumer
75,slow_consumer
76,slow_consumer
77,slow_consumer
78,slow_consumer
79,slow_consumer
80,slow_consumer
81,slow_consumer
82,slow_consumer
83,slow_consumer
84,slow_consumer
85,slow_consumer
86,slow_consumer
87,slow_consumer
88,slow_consumer
89,slow_consumer
90,slow_consumer
91,slow_consumer
92,slow_consumer
93,slow_consumer
94,slow_consumer
95,slow_consumer
96,slow_consumer
97,slow_consumer
98,slow_consumer
99,slow_consumer
100,slow_consumer
101,slow_consumer
102,slow_consumer
103,slow_consumer
104,slow_consumer
105,slow_consumer
106,slow_consumer
107,slow_consumer
108,slow_consumer
109,slow_consumer
110,slow_consumer
111,slow_consumer
112,slow_consumer
113,slow_consumer
114,healthy
115,healthy
116,healthy
117,healthy
118,healthy
119,healthy
120,healthy
121,healthy
122,healthy
123,healthy
124,healthy
125,healthy
126,healthy
127,healthy
128,healthy
129,healthy
130,healthy
131,healthy
132,healthy
133,healthy
134,healthy
135,healthy
136,healthy
137,healthy
138,healthy
139,healthy
140,healthy
141,healthy
142,healthy
143,healthy
144,healthy
145,healthy
146,healthy
147,healthy
148,healthy
149,healthy
150,healthy
151,healthy
152,healthy
153,healthy
154,healthy
155,healthy
156,healthy
157,healthy
158,healthy
159,healthy
160,healthy
161,healthy
162,healthy
163,healthy
164,healthy
165,healthy
166,healthy
167,healthy
168,healthy
169,healthy
170,slow_consumer
171,slow_consumer
172,slow_consumer
173,slow_consumer
174,slow_consumer
175,slow_consumer
176,slow_consumer
177,slow_consumer
178,slow_consumer
179,slow_consumer
180,slow_consumer
181,slow_consumer
182,slow_consumer
183,slow_consumer
184,slow_consumer
185,slow_consumer
186,slow_consumer
187,slow_consumer
188,slow_consumer
189,slow_consumer
190,slow_consumer
191,slow_consumer
192,slow_consumer
193,slow_consumer
194,slow_consumer
195,slow_consumer
196,slow_consumer
197,slow_consumer
198,slow_consumer
199,slow_consumer
200,slow_consumer
201,slow_consumer
202,slow_consumer
203,slow_consumer
204,slow_consumer
205,slow_consumer
206,slow_consumer
207,slow_consumer
208,slow_consumer
209,slow_consumer
210,slow_consumer
211,slow_consumer
212,slow_consumer
213,slow_consumer
214,slow_consumer
215,slow_consumer
216,slow_consumer
217,slow_consumer
218,slow_consumer
219,slow_consumer
220,slow_consumer
221,slow_consumer
222,slow_consumer
223,slow_consumer
224,slow_consumer
225,slow_consumer
